time/time_elapsed,time/total_timesteps,train/loss,time/episodes,time/fps,train/n_updates,train/learning_rate,rollout/exploration_rate,eval/mean_ep_length,eval/mean_reward
70,30672,0.007978161098435521,10,436,20668,0.00025,0.99089425,,
,50000,0.009922191733494401,,,39996,0.00025,0.9851565468750001,4471.0,9.130907666666673
161,53659,0.009905160521157086,20,332,43656,0.00025,0.9840699843750002,,
277,84603,0.010622809873893857,30,305,74600,0.00025,0.9748834843749998,,
,100000,0.012806290294975042,,,89996,0.00025,0.9703127968749999,4847.666666666667,74.90533866666668
382,109322,0.01197212771512568,40,285,99320,0.00025,0.9675450312500001,,
468,132490,0.012694821925833821,50,282,122488,0.00025,0.9606670312500001,,
,150000,0.008840870694257319,,,139996,0.00025,0.9554690468749999,3722.0,-103.04374200000001
559,156257,0.006783485587220639,60,279,146256,0.00025,0.953611203125,,
650,181592,0.006689188303425908,70,278,171588,0.00025,0.946089875,,
,200000,0.020150275668129325,,,189996,0.00025,0.940625296875,4376.666666666667,138.32574766666664
761,210273,0.019972889684140682,80,276,200272,0.00025,0.937575203125,,
845,233689,0.01865143491886556,90,276,223688,0.00025,0.930623578125,,
,250000,0.012547755148261786,,,239996,0.00025,0.925781546875,6778.333333333333,383.25578033333335
944,257502,0.013935381546616554,100,272,247500,0.00025,0.9235540937500001,,
1025,280146,0.016217581694945693,110,273,270144,0.00025,0.91683165625,,
,300000,0.014940731227397919,,,289996,0.00025,0.9109377968750001,4846.666666666667,-42.15247866666666
1120,304054,0.015432160347700119,120,271,294052,0.00025,0.9097339687500001,,
1216,327733,0.01421191543340683,130,269,317732,0.00025,0.902704265625,,
,350000,0.017015385441482067,,,339996,0.00025,0.8960940468749999,6283.666666666667,163.71557166666668
1317,351610,0.019244876224547625,140,266,341608,0.00025,0.89561578125,,
1416,377574,0.02157292701303959,150,266,367572,0.00025,0.88790771875,,
,400000,0.015399392344988883,,,389996,0.00025,0.881250296875,9274.666666666666,2651.2436199999997
1536,401608,0.014928920427337289,160,261,391604,0.00025,0.8807726249999999,,
1638,426469,0.026172447483986616,170,260,416468,0.00025,0.873392015625,,
,450000,0.012504484737291932,,,439996,0.00025,0.866406546875,9517.666666666666,2922.1839523333333
1748,451820,0.012649282347410917,180,258,441816,0.00025,0.8658659375000002,,
1819,474028,0.01809529634192586,190,260,464024,0.00025,0.8592729375000001,,
,500000,0.052707173861563206,,,489996,0.00025,0.851562796875,9617.666666666666,764.0103096666667
1934,504742,0.057933369651436806,200,260,494740,0.00025,0.8501547187499999,,
2013,529254,0.061225248500704765,210,262,519252,0.00025,0.8428777187500001,,
,550000,0.04113628389313817,,,539996,0.00025,0.8367190468750001,10000.0,1027.377911
2105,552568,0.04247073642909527,220,262,542564,0.00025,0.8359563750000001,,
2180,575937,0.0324307675473392,230,264,565936,0.00025,0.829018703125,,
2255,599030,0.028023069258779287,240,265,589028,0.00025,0.8221629687500001,,
,600000,0.02168661542236805,,,589996,0.00025,0.8218752968749998,9193.333333333334,1085.090424
2357,625239,0.021816682070493698,250,265,615236,0.00025,0.8143821718750002,,
,650000,0.023574982304126024,,,639996,0.00025,0.807031546875,10000.0,380.3926553333334
2464,652200,0.016598852118477225,260,264,642196,0.00025,0.8063781250000002,,
2567,683565,0.04269876331090927,270,266,673564,0.00025,0.7970666406250001,,
,700000,0.039973752573132515,,,689996,0.00025,0.792187796875,10000.0,186.66471933333332
2661,707086,0.0357874995097518,280,265,697084,0.00025,0.79008384375,,
