{'EPISODE END | Balance: 519.08| Max DD: 0.113| Trades: 458| Wins: 143| Losses: 86| Effectiveness (winrate): 62.45%'}
{'EPISODE END | Balance: 216.65| Max DD: 0.167| Trades: 270| Wins: 74| Losses: 61| Effectiveness (winrate): 54.81%'}
{'EPISODE END | Balance: 228.26| Max DD: 0.073| Trades: 258| Wins: 81| Losses: 48| Effectiveness (winrate): 62.79%'}
{'EPISODE END | Balance: 4618.72| Max DD: 0.059| Trades: 848| Wins: 310| Losses: 114| Effectiveness (winrate): 73.11%'}
{'EPISODE END | Balance: 513.04| Max DD: 0.126| Trades: 510| Wins: 147| Losses: 108| Effectiveness (winrate): 57.65%'}
{'EPISODE END | Balance: 1215.75| Max DD: 0.080| Trades: 524| Wins: 198| Losses: 64| Effectiveness (winrate): 75.57%'}
{'EPISODE END | Balance: 692.07| Max DD: 0.072| Trades: 484| Wins: 165| Losses: 77| Effectiveness (winrate): 68.18%'}
{'EPISODE END | Balance: 350.74| Max DD: 0.139| Trades: 264| Wins: 82| Losses: 50| Effectiveness (winrate): 62.12%'}
{'EPISODE END | Balance: 233.65| Max DD: 0.166| Trades: 214| Wins: 60| Losses: 47| Effectiveness (winrate): 56.07%'}
{'EPISODE END | Balance: 511.79| Max DD: 0.074| Trades: 488| Wins: 155| Losses: 89| Effectiveness (winrate): 63.52%'}
{'EPISODE END | Balance: 532.33| Max DD: 0.082| Trades: 440| Wins: 150| Losses: 70| Effectiveness (winrate): 68.18%'}
{'EPISODE END | Balance: 1216.86| Max DD: 0.080| Trades: 528| Wins: 200| Losses: 64| Effectiveness (winrate): 75.76%'}
{'EPISODE END | Balance: 297.01| Max DD: 0.077| Trades: 268| Wins: 78| Losses: 56| Effectiveness (winrate): 58.21%'}
{'EPISODE END | Balance: 206.61| Max DD: 0.128| Trades: 250| Wins: 77| Losses: 48| Effectiveness (winrate): 61.60%'}
{'EPISODE END | Balance: 236.25| Max DD: 0.226| Trades: 354| Wins: 101| Losses: 76| Effectiveness (winrate): 57.06%'}
{'EPISODE END | Balance: 429.47| Max DD: 0.088| Trades: 414| Wins: 125| Losses: 82| Effectiveness (winrate): 60.39%'}
{'EPISODE END | Balance: 221.34| Max DD: 0.207| Trades: 304| Wins: 72| Losses: 80| Effectiveness (winrate): 47.37%'}
{'EPISODE END | Balance: 681.09| Max DD: 0.071| Trades: 450| Wins: 154| Losses: 71| Effectiveness (winrate): 68.44%'}
{'EPISODE END | Balance: 227.52| Max DD: 0.167| Trades: 296| Wins: 85| Losses: 63| Effectiveness (winrate): 57.43%'}
{'EPISODE END | Balance: 299.79| Max DD: 0.211| Trades: 408| Wins: 114| Losses: 90| Effectiveness (winrate): 55.88%'}
{'EPISODE END | Balance: 219.43| Max DD: 0.211| Trades: 298| Wins: 69| Losses: 80| Effectiveness (winrate): 46.31%'}
{'EPISODE END | Balance: 213.14| Max DD: 0.166| Trades: 288| Wins: 69| Losses: 75| Effectiveness (winrate): 47.92%'}
{'EPISODE END | Balance: 355.63| Max DD: 0.183| Trades: 464| Wins: 120| Losses: 112| Effectiveness (winrate): 51.72%'}
{'EPISODE END | Balance: 248.57| Max DD: 0.087| Trades: 246| Wins: 78| Losses: 45| Effectiveness (winrate): 63.41%'}
{'EPISODE END | Balance: 511.73| Max DD: 0.064| Trades: 346| Wins: 118| Losses: 55| Effectiveness (winrate): 68.21%'}
