{'EPISODE END | Balance: 299.62| Max DD: 0.125| Trades: 310| Wins: 72| Losses: 83| Effectiveness (winrate): 46.45%'}
{'EPISODE END | Balance: 267.54| Max DD: 0.080| Trades: 396| Wins: 103| Losses: 95| Effectiveness (winrate): 52.02%'}
{'EPISODE END | Balance: 214.35| Max DD: 0.131| Trades: 146| Wins: 33| Losses: 40| Effectiveness (winrate): 45.21%'}
{'EPISODE END | Balance: 265.22| Max DD: 0.213| Trades: 450| Wins: 96| Losses: 129| Effectiveness (winrate): 42.67%'}
{'EPISODE END | Balance: 303.69| Max DD: 0.067| Trades: 430| Wins: 109| Losses: 106| Effectiveness (winrate): 50.70%'}
{'EPISODE END | Balance: 294.70| Max DD: 0.057| Trades: 256| Wins: 67| Losses: 61| Effectiveness (winrate): 52.34%'}
{'EPISODE END | Balance: 285.28| Max DD: 0.084| Trades: 318| Wins: 72| Losses: 87| Effectiveness (winrate): 45.28%'}
{'EPISODE END | Balance: 250.56| Max DD: 0.102| Trades: 322| Wins: 80| Losses: 81| Effectiveness (winrate): 49.69%'}
{'EPISODE END | Balance: 591.27| Max DD: 0.129| Trades: 1658| Wins: 411| Losses: 418| Effectiveness (winrate): 49.58%'}
{'EPISODE END | Balance: 191.88| Max DD: 0.217| Trades: 300| Wins: 71| Losses: 79| Effectiveness (winrate): 47.33%'}
{'EPISODE END | Balance: 328.60| Max DD: 0.100| Trades: 476| Wins: 114| Losses: 124| Effectiveness (winrate): 47.90%'}
{'EPISODE END | Balance: 278.64| Max DD: 0.105| Trades: 336| Wins: 88| Losses: 80| Effectiveness (winrate): 52.38%'}
{'EPISODE END | Balance: 240.67| Max DD: 0.143| Trades: 168| Wins: 34| Losses: 50| Effectiveness (winrate): 40.48%'}
{'EPISODE END | Balance: 224.18| Max DD: 0.325| Trades: 588| Wins: 118| Losses: 176| Effectiveness (winrate): 40.14%'}
{'EPISODE END | Balance: 264.37| Max DD: 0.141| Trades: 258| Wins: 61| Losses: 68| Effectiveness (winrate): 47.29%'}
{'EPISODE END | Balance: 637.21| Max DD: 0.160| Trades: 1626| Wins: 392| Losses: 421| Effectiveness (winrate): 48.22%'}
{'EPISODE END | Balance: 623.71| Max DD: 0.199| Trades: 1358| Wins: 318| Losses: 361| Effectiveness (winrate): 46.83%'}
{'EPISODE END | Balance: 259.55| Max DD: 0.183| Trades: 450| Wins: 104| Losses: 121| Effectiveness (winrate): 46.22%'}
{'EPISODE END | Balance: 299.32| Max DD: 0.102| Trades: 350| Wins: 88| Losses: 87| Effectiveness (winrate): 50.29%'}
{'EPISODE END | Balance: 368.19| Max DD: 0.083| Trades: 432| Wins: 108| Losses: 108| Effectiveness (winrate): 50.00%'}
{'EPISODE END | Balance: 270.79| Max DD: 0.155| Trades: 384| Wins: 86| Losses: 106| Effectiveness (winrate): 44.79%'}
{'EPISODE END | Balance: 190.08| Max DD: 0.095| Trades: 126| Wins: 29| Losses: 34| Effectiveness (winrate): 46.03%'}
{'EPISODE END | Balance: 266.72| Max DD: 0.127| Trades: 334| Wins: 83| Losses: 84| Effectiveness (winrate): 49.70%'}
{'EPISODE END | Balance: 235.37| Max DD: 0.230| Trades: 370| Wins: 85| Losses: 100| Effectiveness (winrate): 45.95%'}
{'EPISODE END | Balance: 149.10| Max DD: 0.289| Trades: 156| Wins: 27| Losses: 51| Effectiveness (winrate): 34.62%'}
{'EPISODE END | Balance: 284.68| Max DD: 0.121| Trades: 418| Wins: 110| Losses: 99| Effectiveness (winrate): 52.63%'}
{'EPISODE END | Balance: 322.09| Max DD: 0.085| Trades: 424| Wins: 118| Losses: 94| Effectiveness (winrate): 55.66%'}
{'EPISODE END | Balance: 261.78| Max DD: 0.064| Trades: 138| Wins: 38| Losses: 31| Effectiveness (winrate): 55.07%'}
{'EPISODE END | Balance: 281.97| Max DD: 0.104| Trades: 342| Wins: 90| Losses: 81| Effectiveness (winrate): 52.63%'}
{'EPISODE END | Balance: 190.90| Max DD: 0.112| Trades: 92| Wins: 18| Losses: 28| Effectiveness (winrate): 39.13%'}
{'EPISODE END | Balance: 257.10| Max DD: 0.147| Trades: 362| Wins: 95| Losses: 86| Effectiveness (winrate): 52.49%'}
{'EPISODE END | Balance: 288.77| Max DD: 0.045| Trades: 260| Wins: 71| Losses: 59| Effectiveness (winrate): 54.62%'}
{'EPISODE END | Balance: 179.02| Max DD: 0.148| Trades: 200| Wins: 54| Losses: 46| Effectiveness (winrate): 54.00%'}
{'EPISODE END | Balance: 172.57| Max DD: 0.178| Trades: 212| Wins: 45| Losses: 61| Effectiveness (winrate): 42.45%'}
{'EPISODE END | Balance: 283.79| Max DD: 0.142| Trades: 202| Wins: 42| Losses: 59| Effectiveness (winrate): 41.58%'}
{'EPISODE END | Balance: 214.07| Max DD: 0.167| Trades: 158| Wins: 31| Losses: 48| Effectiveness (winrate): 39.24%'}
{'EPISODE END | Balance: 178.44| Max DD: 0.197| Trades: 320| Wins: 64| Losses: 96| Effectiveness (winrate): 40.00%'}
{'EPISODE END | Balance: 571.49| Max DD: 0.168| Trades: 1112| Wins: 287| Losses: 269| Effectiveness (winrate): 51.62%'}
{'EPISODE END | Balance: 247.77| Max DD: 0.201| Trades: 388| Wins: 83| Losses: 111| Effectiveness (winrate): 42.78%'}
{'EPISODE END | Balance: 174.71| Max DD: 0.160| Trades: 102| Wins: 18| Losses: 33| Effectiveness (winrate): 35.29%'}
{'EPISODE END | Balance: 246.75| Max DD: 0.099| Trades: 308| Wins: 74| Losses: 80| Effectiveness (winrate): 48.05%'}
{'EPISODE END | Balance: 279.16| Max DD: 0.247| Trades: 514| Wins: 119| Losses: 138| Effectiveness (winrate): 46.30%'}
{'EPISODE END | Balance: 256.21| Max DD: 0.149| Trades: 286| Wins: 69| Losses: 74| Effectiveness (winrate): 48.25%'}
{'EPISODE END | Balance: 173.25| Max DD: 0.189| Trades: 136| Wins: 22| Losses: 46| Effectiveness (winrate): 32.35%'}
{'EPISODE END | Balance: 212.54| Max DD: 0.088| Trades: 116| Wins: 30| Losses: 28| Effectiveness (winrate): 51.72%'}
{'EPISODE END | Balance: 219.54| Max DD: 0.172| Trades: 292| Wins: 67| Losses: 79| Effectiveness (winrate): 45.89%'}
{'EPISODE END | Balance: 189.09| Max DD: 0.193| Trades: 134| Wins: 24| Losses: 43| Effectiveness (winrate): 35.82%'}
{'EPISODE END | Balance: 275.67| Max DD: 0.117| Trades: 418| Wins: 102| Losses: 107| Effectiveness (winrate): 48.80%'}
{'EPISODE END | Balance: 741.27| Max DD: 0.096| Trades: 1558| Wins: 389| Losses: 390| Effectiveness (winrate): 49.94%'}
{'EPISODE END | Balance: 206.31| Max DD: 0.302| Trades: 520| Wins: 111| Losses: 149| Effectiveness (winrate): 42.69%'}
{'EPISODE END | Balance: 320.21| Max DD: 0.150| Trades: 480| Wins: 118| Losses: 122| Effectiveness (winrate): 49.17%'}
{'EPISODE END | Balance: 418.46| Max DD: 0.347| Trades: 836| Wins: 192| Losses: 226| Effectiveness (winrate): 45.93%'}
{'EPISODE END | Balance: 180.69| Max DD: 0.148| Trades: 192| Wins: 50| Losses: 46| Effectiveness (winrate): 52.08%'}
{'EPISODE END | Balance: 327.53| Max DD: 0.101| Trades: 386| Wins: 98| Losses: 95| Effectiveness (winrate): 50.78%'}
{'EPISODE END | Balance: 330.66| Max DD: 0.245| Trades: 524| Wins: 114| Losses: 148| Effectiveness (winrate): 43.51%'}
{'EPISODE END | Balance: 265.72| Max DD: 0.178| Trades: 340| Wins: 80| Losses: 90| Effectiveness (winrate): 47.06%'}
{'EPISODE END | Balance: 228.90| Max DD: 0.163| Trades: 296| Wins: 70| Losses: 78| Effectiveness (winrate): 47.30%'}
