"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"BTCUSDT","Isolated","Short","115130.40000000","115201.90000000","0.01400000","0.01400000","-1.00100000","2025-08-04 21:40:13.038","2025-08-04 21:44:48.072","Closed"
"BTCUSDT","Isolated","Short","114988.70000000","115066.60000000","0.01400000","0.01400000","-1.09060000","2025-08-04 21:20:21.480","2025-08-04 21:36:38.441","Closed"
"BTCUSDT","Isolated","Short","114969.00000000","115114.20000000","0.01400000","0.01400000","-2.03280000","2025-08-04 20:35:03.635","2025-08-04 21:18:18.445","Closed"
"BTCUSDT","Isolated","Short","115215.30000000","114894.80000000","0.01400000","0.01400000","4.48700000","2025-08-04 18:25:16.488","2025-08-04 20:33:00.400","Closed"
"BTCUSDT","Isolated","Short","115114.80000000","115196.00000000","0.01400000","0.01400000","-1.13679999","2025-08-04 18:10:29.517","2025-08-04 18:21:41.857","Closed"
"BTCUSDT","Isolated","Short","115038.50000000","115230.70000000","0.01500000","0.01500000","-2.88300000","2025-08-04 16:45:27.776","2025-08-04 16:46:59.405","Closed"
"BTCUSDT","Isolated","Short","114926.90000000","115031.90000000","0.01500000","0.01500000","-1.57500000","2025-08-04 16:25:06.189","2025-08-04 16:41:53.187","Closed"
"BTCUSDT","Isolated","Short","114972.30000000","115060.00000000","0.01500000","0.01500000","-1.31550000","2025-08-04 16:15:24.877","2025-08-04 16:16:56.732","Closed"
"BTCUSDT","Isolated","Short","114995.80000000","114995.90000000","0.01500000","0.01500000","-0.00149999","2025-08-04 16:06:50.921","2025-08-04 16:06:58.914","Closed"
"BTCUSDT","Isolated","Short","114810.90000000","114995.80000000","0.01600000","0.01600000","-2.95840000","2025-08-04 16:00:35.406","2025-08-04 16:06:34.363","Closed"
"BTCUSDT","Isolated","Short","114939.80000000","114821.40000000","0.01600000","0.01600000","1.89440000","2025-08-04 15:10:09.067","2025-08-04 15:54:02.122","Closed"
"BTCUSDT","Isolated","Short","115100.10000000","114854.40000000","0.01500000","0.01500000","3.68550000","2025-08-04 14:50:18.289","2025-08-04 15:08:06.028","Closed"
"BTCUSDT","Isolated","Short","115270.10000000","115051.30000000","0.01500000","0.01500000","3.28200000","2025-08-04 14:05:20.852","2025-08-04 14:49:16.164","Closed"
"BTCUSDT","Isolated","Short","114366.60000000","114896.20000000","0.01600000","0.01600000","-8.47360000","2025-08-04 06:05:22.777","2025-08-04 14:01:15.241","Closed"
